Material Novo;Material antigo;Texto breve material;Centro;Depósito;Lote;Quantidade;Valor Unitário;Valor Total;Unidade
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRD3;MR01;O.PURCHASE;7;R$ 469,51;R$ 3.286,58;Suzano
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRD5;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Taubaté
50080681;20016593;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALEXG";BRD7;MR01;O.PURCHASE;3;R$ 434,80;R$ 1.304,41;Litoral - Praia Grande
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCN;MR01;O.PURCHASE;2;R$ 413,54;R$ 827,07;Araraquara
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCO;MR01;O.PURCHASE;11;R$ 456,03;R$ 5.016,35;Barueri
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCR;MR01;O.PURCHASE;1;R$ 322,06;R$ 322,06;Diadema
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCT;MR01;O.PURCHASE;1;R$ 384,55;R$ 384,55;Guarulhos
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCU;MR01;O.PURCHASE;6;R$ 323,50;R$ 1.941,02;Jaú
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCV;MR01;O.PURCHASE;1;R$ 332,04;R$ 332,04;Jundiai (SALTO)
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRCX;MR01;O.PURCHASE;4;R$ 351,80;R$ 1.407,21;Mauá
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRD0;MR01;O.PURCHASE;1;R$ 313,53;R$ 313,53;Presidente Prudente
50080696;20016705;"JAQUETA;TAM P;MUNOZ/JAQUETANYLONAZROYALP";BRD7;MR01;O.PURCHASE;5;R$ 409,01;R$ 2.045,05;Litoral - Praia Grande
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCM;MR01;O.PURCHASE;4;R$ 453,45;R$ 1.813,80;Araçatuba
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCN;MR01;O.PURCHASE;9;R$ 337,15;R$ 3.034,34;Araraquara
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCO;MR01;O.PURCHASE;18;R$ 395,88;R$ 7.125,77;Barueri
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCQ;MR01;O.PURCHASE;2;R$ 437,17;R$ 874,33;Campinas
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCT;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Guarulhos
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCU;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Jaú
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCV;MR01;O.PURCHASE;2;R$ 470,12;R$ 940,23;Jundiai (SALTO)
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCX;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Mauá
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRCY;MR01;O.PURCHASE;8;R$ 451,45;R$ 3.611,56;Mogi Mirim
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRD0;MR01;O.PURCHASE;9;R$ 380,44;R$ 3.423,95;Presidente Prudente
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRD2;MR01;O.PURCHASE;2;R$ 323,54;R$ 647,07;São José dos Campos
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRD4;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;Votorantim (SALTO)
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRD5;MR01;O.PURCHASE;3;R$ 332,05;R$ 996,15;Taubaté
50080697;20016706;"JAQUETA;TAM M;MUNOZ/JAQUETANYLONAZROYALM";BRD7;MR01;O.PURCHASE;4;R$ 426,13;R$ 1.704,50;Litoral - Praia Grande
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRCO;MR01;O.PURCHASE;14;R$ 457,06;R$ 6.398,77;Barueri
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRCQ;MR01;O.PURCHASE;4;R$ 381,49;R$ 1.525,94;Campinas
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRCR;MR01;O.PURCHASE;2;R$ 453,27;R$ 906,54;Diadema
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRCV;MR01;O.PURCHASE;7;R$ 460,84;R$ 3.225,90;Jundiai (SALTO)
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRCX;MR01;O.PURCHASE;6;R$ 447,54;R$ 2.685,26;Mauá
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRD0;MR01;O.PURCHASE;18;R$ 403,19;R$ 7.257,39;Presidente Prudente
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRD1;MR01;O.PURCHASE;3;R$ 548,92;R$ 1.646,76;Ribeirão Preto
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRD2;MR01;O.PURCHASE;0;R$ 0,00;R$ 0,00;São José dos Campos
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRD4;MR01;O.PURCHASE;3;R$ 345,90;R$ 1.037,71;Votorantim (SALTO)
50080698;20016707;"JAQUETA;TAM G;MUNOZ/JAQUETANYLONAZROYALG";BRD7;MR01;O.PURCHASE;6;R$ 454,70;R$ 2.728,17;Litoral - Praia Grande
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCM;MR01;O.PURCHASE;4;R$ 409,19;R$ 1.636,75;Araçatuba
50080699;20016708;"JAQUETA;MUNOZ/JAQUETANYLONAZROYALGG";BRCN;MR01;O.PURCHASE;13;R$ 337,53;R$ 4.387,95;Araraquara
